year,fixture_id,round,home_team,away_team,home_goals,away_goals,home_team_odds,draw_odds,away_team_odds,favourite_team,favourite_odds,outsider_team,outsider_odds,result,result_entity,result_team,result_odds,bookie_correct
1998,46,3,Colombia,England,0,2,6,3.8,1.45,England,1.45,Colombia,6,away,favourite,England,1.45,TRUE
1998,47,3,Japan,Jamaica,1,2,1.95,3,3.6,Japan,1.95,Jamaica,3.6,away,outsider,Jamaica,3.6,FALSE
1998,48,3,Argentina,Croatia,1,0,1.95,2.7,4.09,Argentina,1.95,Croatia,4.09,home,favourite,Argentina,1.95,TRUE
1998,49,Round of 16,Italy,Norway,1,0,1.75,3.00,4.70,Italy,1.75,Norway,4.7,home,favourite,Italy,1.75,TRUE
1998,50,Round of 16,Brazil,Chile,4,1,1.28,4.59,9.50,Brazil,1.28,Chile,9.5,home,favourite,Brazil,1.28,TRUE
1998,51,Round of 16,Nigeria,Denmark,1,4,2.00,2.90,3.70,Nigeria,2,Denmark,3.7,away,outsider,Denmark,3.7,FALSE
1998,52,Round of 16,France,Paraguay,0,0,1.27,4.80,9.50,France,1.27,Paraguay,9.5,draw,draw,Draw,4.8,FALSE
1998,53,Round of 16,Netherlands,Serbia and Montenegro,2,1,1.00,3.00,2.00,Netherlands,1,Serbia and Montenegro,2,home,favourite,Netherlands,1,TRUE
1998,54,Round of 16,Germany,Mexico,2,1,1.00,3.00,2.00,Germany,1,Mexico,2,home,favourite,Germany,1,TRUE
1998,55,Round of 16,Romania,Croatia,0,1,2.00,3.00,2.00,Croatia,2,Croatia,2,away,outsider,Croatia,2,FALSE
1998,56,Round of 16,Argentina,England,2,2,1.00,3.00,2.00,Argentina,1,England,2,draw,draw,Draw,3,FALSE
1998,57,Quarter Final,Italy,France,0,0,3.00,2.90,2.54,France,2.54,Italy,3,draw,draw,Draw,2.9,FALSE
1998,58,Quarter Final,Brazil,Denmark,3,2,1.33,4.09,9.00,Brazil,1.33,Denmark,9,home,favourite,Brazil,1.33,TRUE
1998,59,Quarter Final,Netherlands,Argentina,2,1,2.50,2.70,2.90,Netherlands,2.5,Argentina,2.9,home,favourite,Netherlands,2.5,TRUE
1998,60,Quarter Final,Germany,Croatia,0,3,1.80,3.00,4.30,Germany,1.8,Croatia,4.3,away,outsider,Croatia,4.3,FALSE
1998,61,Semi Final,Brazil,Netherlands,1,1,2.10,2.85,3.50,Brazil,2.1,Netherlands,3.5,draw,draw,Draw,2.85,FALSE
1998,62,Semi Final,France,Croatia,2,1,1.85,3.00,4.30,France,1.85,Croatia,4.3,home,favourite,France,1.85,TRUE
1998,63,Third Place,Netherlands,Croatia,1,2,1.90,3.30,3.50,Netherlands,1.9,Croatia,3.5,away,outsider,Croatia,3.5,FALSE
1998,64,Final,Brazil,France,0,3,2.35,2.70,3.20,Brazil,2.35,France,3.2,away,outsider,France,3.2,FALSE
2002,1,1,France,Senegal,0,1,1.32,4.38,8.97,France,1.32,Senegal,8.97,away,outsider,Senegal,8.97,FALSE
2002,2,1,Uruguay,Denmark,1,2,2.63,2.73,3.03,Uruguay,2.63,Denmark,3.03,away,outsider,Denmark,3.03,FALSE
2002,3,1,Ireland,Cameroon,1,1,3.33,2.95,2.3,Cameroon,2.3,Ireland,3.33,draw,draw,Draw,2.95,FALSE
2002,4,1,Germany,Saudi Arabia,8,0,1.29,4.82,9.05,Germany,1.29,Saudi Arabia,9.05,home,favourite,Germany,1.29,TRUE
2002,5,1,Spain,Slovenia,3,1,1.44,4.06,7.76,Spain,1.44,Slovenia,7.76,home,favourite,Spain,1.44,TRUE
2002,6,1,Paraguay,South Africa,2,2,2.01,3.18,4.08,Paraguay,2.01,South Africa,4.08,draw,draw,Draw,3.18,FALSE
