home_team,away_team,home_team_odds,draw_odds,away_team_odds,favourite_team,favourite_odds,outsider_team,outsider_odds,favourites_payout,outsiders_payout,result
France,Argentina,2.40,2.88,3.40,France,2.4,Argentina,3.4,203.4747808,281165.04,
Uruguay,Portugal,2.75,2.88,2.88,Uruguay,2.75,Portugal,2.88,203.4747808,281165.04,
Spain,Russia,1.57,3.75,6.50,Spain,1.57,Russia,6.5,203.4747808,281165.04,
Croatia,Denmark,1.83,3.20,5.00,Croatia,1.83,Denmark,5,203.4747808,281165.04,
Brazil,Mexico,1.50,4.00,7.50,Brazil,1.5,Mexico,7.5,203.4747808,281165.04,
Belgium,Japan,1.36,4.50,9.50,Belgium,1.36,Japan,9.5,203.4747808,281165.04,
Sweden,Switzerland,3.10,2.88,2.63,Switzerland,2.63,Sweden,3.1,203.4747808,281165.04,
Colombia,England,4.00,3.20,2.00,England,2,Colombia,4,203.4747808,281165.04,
